data_iniSE,casos,umidmed,tempmed
2021-11-07,0,77.6811197142857,26.539648
2021-11-14,0,76.4963094285714,25.6402457142857
2021-11-21,0,71.8921948571429,26.9057965714286
2021-11-28,0,79.9181228571429,27.1048137142857
2021-12-05,0,80.601535,27.6812768571429
2021-12-12,0,77.299437,28.0344202857143
2021-12-19,1,84.2555812857143,27.3618014285714
2021-12-26,0,78.066015,27.4655794285714
2022-01-02,1,75.9277262857143,27.8022777142857
2022-01-09,0,72.9464058571429,28.4821425714286
2022-01-16,0,73.3104002857143,28.640056
2022-01-23,0,78.3488237142857,27.8948414285714
2022-01-30,1,72.6204912857143,29.1947277142857
2022-02-06,1,76.5179451428571,28.8869051428571
2022-02-13,0,76.5807608571429,28.434524
2022-02-20,0,74.973572,28.779762
2022-02-27,0,76.8253941428571,27.9928572857143
2022-03-06,0,76.0723772857143,28.4583334285714
2022-03-13,0,77.1010407142857,28.4124151428571
2022-03-20,1,71.725702,28.8894558571429
2022-03-27,0,72.9896114285714,28.6084245714286
2022-04-03,0,73.3074307142857,28.2541125714286
2022-04-10,0,74.447988,28.5011902857143
2022-04-17,5,82.8208685714286,27.0929091428571
2022-04-24,0,73.2188907142857,28.5833331428571
2022-05-01,3,74.5489775,28.290404
2022-05-08,1,84.179695,25.206731
2022-05-15,2,76.68722667519748,25.733835799367153
2022-05-22,0,76.68722667519748,25.733835799367153
2022-05-29,1,77.056843,26.7589285
2022-06-05,1,72.990394,25.046266
2022-06-12,0,75.0357,27.020833
2022-06-19,1,69.778133,26.833333
2022-06-26,1,66.5218175,25.752451
2022-07-03,0,76.68722667519748,25.733835799367153
2022-07-10,2,70.629604,26.227941
2022-07-17,1,76.68722667519748,25.733835799367153
2022-07-24,1,80.6369725,24.7172615
2022-07-31,1,74.72989,25.40625
2022-08-07,1,76.68722667519748,25.733835799367153
2022-08-14,2,70.3867036666667,25.092949
